InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,ImprovementType,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
21938,13445,16154.5,-2709.5,-16.77241635,16.77241635,1,3,6,2,1
2197,1200,1500,-300,-20,20,12,4,1,2,3
2198,18100,20500,-2400,-11.70731707,11.70731707,12,3,1,1,3
22010,5200,7532.5,-2332.5,-30.9658148,30.9658148,3,4.5,6,3,1
2204,9537.5,9937.5,-400,-4.025157233,4.025157233,12,3,4,4,3
22080,11820,20070,-8250,-41.10612855,41.10612855,1,3,6,2,1
2209,3434,3742,-308,-8.230892571,8.230892571,12,4.4,1,3,3
2214,8028.571429,6314.285714,1714.285714,27.14932127,27.14932127,12,6.285714286,4,0,3
2217,5700,6250,-550,-8.8,8.8,12,3,1,2,3
22179,47736.66667,51026,-3289.333333,-6.446386809,6.446386809,12,1,6,2,3
22200,91694,99076,-7382,-7.450845815,7.450845815,1,1,6,4,1
22219,2655,2940,-285,-9.693877551,9.693877551,1,5,6,2,1
22232,14003.33333,16649.5,-2646.166667,-15.89337017,15.89337017,12,3,6,2,3
22245,14513.33333,22118.33333,-7605,-34.38324165,34.38324165,11,1.666666667,6,1,2
22398,7345,9986.25,-2641.25,-26.44886719,26.44886719,12,4,6,2,3
2241,22000,24500,-2500,-10.20408163,10.20408163,12,4,4,0,3
22491,7366.666667,9111,-1744.333333,-19.14535543,19.14535543,3,4.666666667,6,3,1
2252,3160,3550,-390,-10.98591549,10.98591549,12,3,1,2,3
22529,19126.66667,19483.89,-357.2233333,-1.833429225,1.833429225,1,3,6,1,1
2253,1300,2325,-1025,-44.08602151,44.08602151,12,4,1,2,3
2256,6500,7166.666667,-666.6666667,-9.302325581,9.302325581,12,3.666666667,1,3,3
2259,5250,5950,-700,-11.76470588,11.76470588,12,3,4,1,3
22598,13440,13070,370,2.830910482,2.830910482,1,3,6,2,1
2261,4850,5250,-400,-7.619047619,7.619047619,12,4,1,6,3
22666,1720,2280,-560,-24.56140351,24.56140351,1,5,6,2,1
